Country,Destination,Region,Group,Prefix,Valid Date,End Date,Change,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,614914,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61497,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61498,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61499,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Vodafone,,MDL Non Premium,61404,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Vodafone,,MDL Non Premium,61405,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Vodafone,,MDL Non Premium,61406,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Vodafone,,MDL Non Premium,61410,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Vodafone,,MDL Non Premium,61414,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Vodafone,,MDL Non Premium,61415,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Vodafone,,MDL Non Premium,61416,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Vodafone,,MDL Non Premium,614202,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Vodafone,,MDL Non Premium,614203,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Vodafone,,MDL Non Premium,614204,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Vodafone,,MDL Non Premium,614205,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Vodafone,,MDL Non Premium,614206,01/01/2022 00:00,12/31/2099 23:59:59,,
